Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0962	2.8939	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
1	2.8606	1.0642	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
2	1.0635	0.9723	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
3	0.9695	0.8337	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
4	0.8258	1.0097	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
5	0.9879	0.9471	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
6	0.9432	0.8725	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
7	0.8661	0.8193	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
8	0.8094	0.7975	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
9	0.7842	0.8016	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
10	0.7921	0.9573	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
11	0.9358	0.9045	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
12	0.8993	0.8475	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
13	0.8405	0.8045	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
14	0.7954	0.7587	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
15	0.7481	0.6860	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
16	0.6740	0.6156	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
17	0.6030	0.9025	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
18	0.8973	0.8253	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
19	0.8171	0.7035	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
20	0.6908	0.7792	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
21	0.7544	0.9720	|	0.1270	0.2353	0.2353	0.2353	|	0.1185	0.2162	0.2162	0.2162	|	0.1306	0.2436	0.2436	0.2436	|  Best result at epoch 0
22	0.9665	0.8816	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
23	0.8756	0.8420	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
24	0.8341	0.8090	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
25	0.7993	0.7704	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
26	0.7583	0.7001	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
27	0.6879	0.6026	|	0.2765	0.7086	0.7086	0.7086	|	0.2812	0.7297	0.7297	0.7297	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
28	0.5922	0.5266	|	0.5331	0.8316	0.8316	0.8316	|	0.4870	0.7838	0.7838	0.7838	|	0.4903	0.7829	0.7829	0.7829	|  Best result at epoch 28
29	0.5126	0.4982	|	0.4745	0.7888	0.7888	0.7888	|	0.4702	0.7838	0.7838	0.7838	|	0.4675	0.7732	0.7732	0.7732	|  Best result at epoch 28
30	0.4892	0.7722	|	0.3720	0.5455	0.5455	0.5455	|	0.3833	0.5676	0.5676	0.5676	|	0.3571	0.5184	0.5184	0.5184	|  Best result at epoch 28
31	0.7627	0.5261	|	0.3286	0.7273	0.7273	0.7273	|	0.2812	0.7297	0.7297	0.7297	|	0.3066	0.6987	0.6987	0.6987	|  Best result at epoch 28
32	0.5193	0.4968	|	0.4669	0.7914	0.7914	0.7914	|	0.4476	0.7838	0.7838	0.7838	|	0.4234	0.7452	0.7452	0.7452	|  Best result at epoch 28
33	0.4818	0.5862	|	0.4891	0.7406	0.7406	0.7406	|	0.4618	0.7297	0.7297	0.7297	|	0.4626	0.6987	0.6987	0.6987	|  Best result at epoch 28
34	0.5786	0.5397	|	0.5417	0.8449	0.8449	0.8449	|	0.4870	0.7838	0.7838	0.7838	|	0.4924	0.7853	0.7853	0.7853	|  Best result at epoch 28
35	0.5298	0.8189	|	0.3605	0.5267	0.5267	0.5267	|	0.3498	0.5135	0.5135	0.5135	|	0.3367	0.4872	0.4872	0.4872	|  Best result at epoch 28
36	0.8094	0.5881	|	0.5403	0.8289	0.8289	0.8289	|	0.4522	0.7297	0.7297	0.7297	|	0.4805	0.7572	0.7572	0.7572	|  Best result at epoch 28
37	0.5804	0.5232	|	0.4784	0.7941	0.7941	0.7941	|	0.4778	0.7838	0.7838	0.7838	|	0.4251	0.7428	0.7428	0.7428	|  Best result at epoch 28
38	0.5154	0.4941	|	0.5313	0.8289	0.8289	0.8289	|	0.4870	0.7838	0.7838	0.7838	|	0.4799	0.7748	0.7748	0.7748	|  Best result at epoch 28
39	0.4858	0.4729	|	0.5492	0.8449	0.8449	0.8449	|	0.4691	0.7568	0.7568	0.7568	|	0.4860	0.7764	0.7764	0.7764	|  Best result at epoch 28
40	0.4618	0.4518	|	0.5559	0.8556	0.8556	0.8556	|	0.4691	0.7568	0.7568	0.7568	|	0.4913	0.7829	0.7829	0.7829	|  Best result at epoch 28
41	0.4388	0.4309	|	0.5636	0.8636	0.8636	0.8636	|	0.4691	0.7568	0.7568	0.7568	|	0.5014	0.7885	0.7885	0.7885	|  Best result at epoch 28
42	0.4168	0.4149	|	0.5610	0.8610	0.8610	0.8610	|	0.4691	0.7568	0.7568	0.7568	|	0.5032	0.7893	0.7893	0.7893	|  Best result at epoch 28
43	0.4008	0.4025	|	0.5820	0.8824	0.8824	0.8824	|	0.4691	0.7568	0.7568	0.7568	|	0.5067	0.7869	0.7869	0.7869	|  Best result at epoch 28
44	0.3892	0.4430	|	0.5570	0.8583	0.8583	0.8583	|	0.4702	0.7838	0.7838	0.7838	|	0.4961	0.7877	0.7877	0.7877	|  Best result at epoch 28
45	0.4271	0.5254	|	0.5004	0.7567	0.7567	0.7567	|	0.4618	0.7297	0.7297	0.7297	|	0.4557	0.6875	0.6875	0.6875	|  Best result at epoch 28
46	0.5148	0.4145	|	0.5638	0.8556	0.8556	0.8556	|	0.4998	0.7838	0.7838	0.7838	|	0.4964	0.7636	0.7636	0.7636	|  Best result at epoch 28
47	0.4033	0.3802	|	0.5756	0.8770	0.8770	0.8770	|	0.5060	0.8108	0.8108	0.8108	|	0.5039	0.7909	0.7909	0.7909	|  Best result at epoch 47
48	0.3656	0.3603	|	0.5845	0.8850	0.8850	0.8850	|	0.4691	0.7568	0.7568	0.7568	|	0.4985	0.7748	0.7748	0.7748	|  Best result at epoch 47
49	0.3468	0.3457	|	0.5853	0.8877	0.8877	0.8877	|	0.5060	0.8108	0.8108	0.8108	|	0.5084	0.7949	0.7949	0.7949	|  Best result at epoch 47
50	0.3300	0.3337	|	0.5826	0.8824	0.8824	0.8824	|	0.5185	0.8108	0.8108	0.8108	|	0.5003	0.7756	0.7756	0.7756	|  Best result at epoch 47
51	0.3227	0.3952	|	0.5888	0.8797	0.8797	0.8797	|	0.4778	0.7838	0.7838	0.7838	|	0.5068	0.7933	0.7933	0.7933	|  Best result at epoch 47
52	0.3787	0.6458	|	0.4967	0.7487	0.7487	0.7487	|	0.4722	0.7297	0.7297	0.7297	|	0.4501	0.6763	0.6763	0.6763	|  Best result at epoch 47
53	0.6379	0.3529	|	0.5898	0.8930	0.8930	0.8930	|	0.4870	0.7838	0.7838	0.7838	|	0.5121	0.7981	0.7981	0.7981	|  Best result at epoch 47
54	0.3406	0.3302	|	0.5943	0.8984	0.8984	0.8984	|	0.4870	0.7838	0.7838	0.7838	|	0.5102	0.7957	0.7957	0.7957	|  Best result at epoch 47
55	0.3159	0.3117	|	0.5943	0.8984	0.8984	0.8984	|	0.5185	0.8108	0.8108	0.8108	|	0.5100	0.7917	0.7917	0.7917	|  Best result at epoch 47
56	0.2982	0.2994	|	0.5943	0.8984	0.8984	0.8984	|	0.5185	0.8108	0.8108	0.8108	|	0.5108	0.7941	0.7941	0.7941	|  Best result at epoch 47
57	0.2842	0.2871	|	0.5943	0.8984	0.8984	0.8984	|	0.5185	0.8108	0.8108	0.8108	|	0.5088	0.7893	0.7893	0.7893	|  Best result at epoch 47
58	0.2733	0.2820	|	0.5957	0.8984	0.8984	0.8984	|	0.5262	0.8108	0.8108	0.8108	|	0.5128	0.7957	0.7957	0.7957	|  Best result at epoch 47
59	0.2653	0.2797	|	0.5826	0.8824	0.8824	0.8824	|	0.5185	0.8108	0.8108	0.8108	|	0.5002	0.7716	0.7716	0.7716	|  Best result at epoch 47
60	0.2698	0.4758	|	0.5729	0.8636	0.8636	0.8636	|	0.4778	0.7838	0.7838	0.7838	|	0.5027	0.7909	0.7909	0.7909	|  Best result at epoch 47
61	0.4571	0.6864	|	0.4728	0.7086	0.7086	0.7086	|	0.4562	0.7027	0.7027	0.7027	|	0.4396	0.6562	0.6562	0.6562	|  Best result at epoch 47
62	0.6822	0.3730	|	0.5963	0.8930	0.8930	0.8930	|	0.5262	0.8108	0.8108	0.8108	|	0.5122	0.7885	0.7885	0.7885	|  Best result at epoch 47
63	0.3638	0.3027	|	0.5988	0.8984	0.8984	0.8984	|	0.5262	0.8108	0.8108	0.8108	|	0.5091	0.7877	0.7877	0.7877	|  Best result at epoch 47
64	0.2916	0.2711	|	0.5937	0.8957	0.8957	0.8957	|	0.5262	0.8108	0.8108	0.8108	|	0.5092	0.7901	0.7901	0.7901	|  Best result at epoch 47
65	0.2587	0.2573	|	0.5977	0.9011	0.9011	0.9011	|	0.5262	0.8108	0.8108	0.8108	|	0.5144	0.7973	0.7973	0.7973	|  Best result at epoch 47
66	0.2431	0.2470	|	0.5977	0.9011	0.9011	0.9011	|	0.5262	0.8108	0.8108	0.8108	|	0.5122	0.7941	0.7941	0.7941	|  Best result at epoch 47
67	0.2326	0.2390	|	0.5993	0.9011	0.9011	0.9011	|	0.5262	0.8108	0.8108	0.8108	|	0.5136	0.7957	0.7957	0.7957	|  Best result at epoch 47
68	0.2239	0.2305	|	0.5950	0.8984	0.8984	0.8984	|	0.5262	0.8108	0.8108	0.8108	|	0.5067	0.7861	0.7861	0.7861	|  Best result at epoch 47
69	0.2164	0.2351	|	0.6110	0.9037	0.9037	0.9037	|	0.5262	0.8108	0.8108	0.8108	|	0.5170	0.7965	0.7965	0.7965	|  Best result at epoch 47
70	0.2175	0.2551	|	0.5845	0.8850	0.8850	0.8850	|	0.5262	0.8108	0.8108	0.8108	|	0.4981	0.7684	0.7684	0.7684	|  Best result at epoch 47
71	0.2439	0.3055	|	0.5976	0.8877	0.8877	0.8877	|	0.5146	0.8108	0.8108	0.8108	|	0.5171	0.8021	0.8021	0.8021	|  Best result at epoch 47
72	0.2847	0.3644	|	0.5477	0.8289	0.8289	0.8289	|	0.4781	0.7568	0.7568	0.7568	|	0.4788	0.7308	0.7308	0.7308	|  Best result at epoch 47
73	0.3577	0.2770	|	0.6003	0.8904	0.8904	0.8904	|	0.5146	0.8108	0.8108	0.8108	|	0.5114	0.7981	0.7981	0.7981	|  Best result at epoch 47
74	0.2583	0.2204	|	0.5915	0.8930	0.8930	0.8930	|	0.5185	0.8108	0.8108	0.8108	|	0.5083	0.7853	0.7853	0.7853	|  Best result at epoch 47
75	0.2081	0.2056	|	0.6026	0.9064	0.9064	0.9064	|	0.5262	0.8108	0.8108	0.8108	|	0.5160	0.8005	0.8005	0.8005	|  Best result at epoch 47
76	0.1886	0.1945	|	0.6065	0.9091	0.9091	0.9091	|	0.5262	0.8108	0.8108	0.8108	|	0.5236	0.7997	0.7997	0.7997	|  Best result at epoch 47
77	0.1789	0.1889	|	0.8685	0.9412	0.9412	0.9412	|	0.5262	0.8108	0.8108	0.8108	|	0.6447	0.8125	0.8125	0.8125	|  Best result at epoch 47
78	0.1724	0.1827	|	0.8799	0.9439	0.9439	0.9439	|	0.5262	0.8108	0.8108	0.8108	|	0.6735	0.8149	0.8149	0.8149	|  Best result at epoch 47
79	0.1663	0.1778	|	0.8918	0.9465	0.9465	0.9465	|	0.5262	0.8108	0.8108	0.8108	|	0.6976	0.8237	0.8237	0.8237	|  Best result at epoch 47
80	0.1604	0.1725	|	0.8827	0.9439	0.9439	0.9439	|	0.5262	0.8108	0.8108	0.8108	|	0.6872	0.8117	0.8117	0.8117	|  Best result at epoch 47
81	0.1569	0.1932	|	0.8032	0.9251	0.9251	0.9251	|	0.5476	0.8378	0.8378	0.8378	|	0.6787	0.8229	0.8229	0.8229	|  Best result at epoch 81
82	0.1745	0.2689	|	0.6016	0.8636	0.8636	0.8636	|	0.7338	0.8108	0.8108	0.8108	|	0.5524	0.7524	0.7524	0.7524	|  Best result at epoch 81
83	0.2609	0.5696	|	0.5124	0.8021	0.8021	0.8021	|	0.4756	0.7838	0.7838	0.7838	|	0.4856	0.7548	0.7548	0.7548	|  Best result at epoch 81
84	0.5471	0.5347	|	0.5027	0.6658	0.6658	0.6658	|	0.4972	0.5946	0.5946	0.5946	|	0.4736	0.6178	0.6178	0.6178	|  Best result at epoch 81
85	0.5330	0.3117	|	0.8029	0.9118	0.9118	0.9118	|	0.5340	0.7838	0.7838	0.7838	|	0.6300	0.7684	0.7684	0.7684	|  Best result at epoch 81
86	0.3078	0.2206	|	0.6194	0.9037	0.9037	0.9037	|	0.5192	0.7838	0.7838	0.7838	|	0.5438	0.7925	0.7925	0.7925	|  Best result at epoch 81
87	0.2134	0.1871	|	0.6491	0.9091	0.9091	0.9091	|	0.5192	0.7838	0.7838	0.7838	|	0.5520	0.7997	0.7997	0.7997	|  Best result at epoch 81
88	0.1769	0.1703	|	0.6673	0.9064	0.9064	0.9064	|	0.5262	0.8108	0.8108	0.8108	|	0.6003	0.8037	0.8037	0.8037	|  Best result at epoch 81
89	0.1582	0.1610	|	0.8587	0.9412	0.9412	0.9412	|	0.5262	0.8108	0.8108	0.8108	|	0.6885	0.8165	0.8165	0.8165	|  Best result at epoch 81
90	0.1463	0.1563	|	0.8839	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7132	0.8245	0.8245	0.8245	|  Best result at epoch 81
91	0.1395	0.1517	|	0.8763	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7168	0.8253	0.8253	0.8253	|  Best result at epoch 81
92	0.1347	0.1489	|	0.8763	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7133	0.8253	0.8253	0.8253	|  Best result at epoch 81
93	0.1316	0.1466	|	0.8722	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7133	0.8261	0.8261	0.8261	|  Best result at epoch 81
94	0.1292	0.1444	|	0.8722	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7187	0.8277	0.8277	0.8277	|  Best result at epoch 81
95	0.1269	0.1423	|	0.8722	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7183	0.8261	0.8261	0.8261	|  Best result at epoch 81
96	0.1247	0.1407	|	0.8606	0.9439	0.9439	0.9439	|	0.5262	0.8108	0.8108	0.8108	|	0.7205	0.8261	0.8261	0.8261	|  Best result at epoch 81
97	0.1227	0.1383	|	0.8684	0.9465	0.9465	0.9465	|	0.5262	0.8108	0.8108	0.8108	|	0.6996	0.8173	0.8173	0.8173	|  Best result at epoch 81
98	0.1207	0.1408	|	0.8756	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7172	0.8277	0.8277	0.8277	|  Best result at epoch 81
99	0.1208	0.1407	|	0.8634	0.9439	0.9439	0.9439	|	0.5262	0.8108	0.8108	0.8108	|	0.6895	0.8085	0.8085	0.8085	|  Best result at epoch 81
100	0.1231	0.1447	|	0.8807	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7107	0.8205	0.8205	0.8205	|  Best result at epoch 81
101	0.1250	0.1383	|	0.8684	0.9465	0.9465	0.9465	|	0.7538	0.8378	0.8378	0.8378	|	0.6875	0.8109	0.8109	0.8109	|  Best result at epoch 81
102	0.1200	0.1510	|	0.8829	0.9492	0.9492	0.9492	|	0.5409	0.8108	0.8108	0.8108	|	0.7114	0.8229	0.8229	0.8229	|  Best result at epoch 81
103	0.1301	0.1370	|	0.8609	0.9412	0.9412	0.9412	|	0.6913	0.8108	0.8108	0.8108	|	0.6853	0.8029	0.8029	0.8029	|  Best result at epoch 81
104	0.1200	0.1356	|	0.8760	0.9465	0.9465	0.9465	|	0.5262	0.8108	0.8108	0.8108	|	0.7112	0.8205	0.8205	0.8205	|  Best result at epoch 81
105	0.1168	0.1266	|	0.8620	0.9439	0.9439	0.9439	|	0.7538	0.8378	0.8378	0.8378	|	0.6849	0.8109	0.8109	0.8109	|  Best result at epoch 81
106	0.1097	0.1275	|	0.8714	0.9465	0.9465	0.9465	|	0.5262	0.8108	0.8108	0.8108	|	0.7163	0.8245	0.8245	0.8245	|  Best result at epoch 81
107	0.1083	0.1228	|	0.8647	0.9439	0.9439	0.9439	|	0.7538	0.8378	0.8378	0.8378	|	0.6876	0.8117	0.8117	0.8117	|  Best result at epoch 81
108	0.1055	0.1248	|	0.8763	0.9492	0.9492	0.9492	|	0.5262	0.8108	0.8108	0.8108	|	0.7178	0.8245	0.8245	0.8245	|  Best result at epoch 81
109	0.1051	0.1299	|	0.8609	0.9412	0.9412	0.9412	|	0.7538	0.8378	0.8378	0.8378	|	0.6865	0.8061	0.8061	0.8061	|  Best result at epoch 81
110	0.1110	0.1657	|	0.8661	0.9439	0.9439	0.9439	|	0.5643	0.8378	0.8378	0.8378	|	0.6979	0.8181	0.8181	0.8181	|  Best result at epoch 81
111	0.1469	0.1578	|	0.8731	0.9439	0.9439	0.9439	|	0.7338	0.8108	0.8108	0.8108	|	0.6907	0.7997	0.7997	0.7997	|  Best result at epoch 81
112	0.1366	0.1220	|	0.8742	0.9465	0.9465	0.9465	|	0.7538	0.8378	0.8378	0.8378	|	0.7141	0.8181	0.8181	0.8181	|  Best result at epoch 81
113	0.1056	0.1178	|	0.8647	0.9439	0.9439	0.9439	|	0.7538	0.8378	0.8378	0.8378	|	0.7057	0.8165	0.8165	0.8165	|  Best result at epoch 81
114	0.1008	0.1163	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7097	0.8213	0.8213	0.8213	|  Best result at epoch 81
115	0.0983	0.1154	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7075	0.8205	0.8205	0.8205	|  Best result at epoch 81
116	0.0970	0.1145	|	0.8757	0.9492	0.9492	0.9492	|	0.7538	0.8378	0.8378	0.8378	|	0.7029	0.8181	0.8181	0.8181	|  Best result at epoch 81
117	0.0960	0.1141	|	0.8861	0.9545	0.9545	0.9545	|	0.7538	0.8378	0.8378	0.8378	|	0.7143	0.8229	0.8229	0.8229	|  Best result at epoch 81
118	0.0946	0.1130	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7042	0.8189	0.8189	0.8189	|  Best result at epoch 81
119	0.0935	0.1123	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7063	0.8197	0.8197	0.8197	|  Best result at epoch 81
120	0.0924	0.1114	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7061	0.8189	0.8189	0.8189	|  Best result at epoch 81
121	0.0913	0.1107	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7088	0.8205	0.8205	0.8205	|  Best result at epoch 81
122	0.0902	0.1099	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7040	0.8189	0.8189	0.8189	|  Best result at epoch 81
123	0.0891	0.1093	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7062	0.8197	0.8197	0.8197	|  Best result at epoch 81
124	0.0879	0.1083	|	0.8808	0.9519	0.9519	0.9519	|	0.7538	0.8378	0.8378	0.8378	|	0.7003	0.8181	0.8181	0.8181	|  Best result at epoch 81
125	0.0868	0.1090	|	0.9000	0.9572	0.9572	0.9572	|	0.5262	0.8108	0.8108	0.8108	|	0.7180	0.8245	0.8245	0.8245	|  Best result at epoch 81
126	0.0866	0.1060	|	0.8822	0.9519	0.9519	0.9519	|	0.5262	0.8108	0.8108	0.8108	|	0.6915	0.8149	0.8149	0.8149	|  Best result at epoch 81
127	0.0844	0.1063	|	0.9093	0.9626	0.9626	0.9626	|	0.5262	0.8108	0.8108	0.8108	|	0.7184	0.8253	0.8253	0.8253	|  Best result at epoch 81
128	0.0833	0.1119	|	0.8850	0.9519	0.9519	0.9519	|	0.6913	0.8108	0.8108	0.8108	|	0.6861	0.8085	0.8085	0.8085	|  Best result at epoch 81
