Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0962	2.7968	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
1	2.8197	1.0635	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
2	1.0635	0.9676	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
3	0.9681	0.8188	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
4	0.8202	0.9413	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
5	0.9446	0.9499	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
6	0.9499	0.8667	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
7	0.8671	0.8190	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
8	0.8198	0.8656	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
9	0.8661	0.7946	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
10	0.7954	0.7775	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
11	0.7790	0.8281	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
12	0.8287	0.7258	|	0.2693	0.6778	0.6778	0.6778	|	0.2590	0.6351	0.6351	0.6351	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
