Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0962	2.9789	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
1	2.8522	1.0651	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
2	1.0637	0.9701	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
3	0.9636	0.8351	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
4	0.8154	0.9766	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
5	0.9307	0.9470	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
6	0.9380	0.8675	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
7	0.8522	0.8541	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
8	0.8218	0.8741	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
9	0.8607	0.8094	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
10	0.7881	0.7944	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
11	0.7614	0.8135	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
12	0.7946	0.7805	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
13	0.7425	0.8893	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
14	0.8763	0.8235	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
15	0.8046	0.7329	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
16	0.7047	0.6903	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
17	0.6505	0.7787	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
18	0.7572	0.6198	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
19	0.5802	0.6203	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
20	0.5906	1.1374	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
21	1.0656	0.9628	|	0.2908	0.4234	0.4234	0.4234	|	0.2998	0.4375	0.4375	0.4375	|	0.2802	0.4087	0.4087	0.4087	|  Best result at epoch 0
22	0.9548	0.9070	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
23	0.8956	0.8470	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
24	0.8312	0.7744	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
25	0.7524	0.7006	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
26	0.6714	0.6429	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
27	0.6083	0.5900	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
28	0.5534	0.5474	|	0.2719	0.6889	0.6889	0.6889	|	0.2519	0.6071	0.6071	0.6071	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
29	0.5101	0.5144	|	0.5386	0.8244	0.8244	0.8244	|	0.4827	0.7232	0.7232	0.7232	|	0.4917	0.7740	0.7740	0.7740	|  Best result at epoch 29
30	0.4800	0.4918	|	0.5318	0.8217	0.8217	0.8217	|	0.4853	0.7321	0.7321	0.7321	|	0.4841	0.7756	0.7756	0.7756	|  Best result at epoch 30
31	0.4593	0.5237	|	0.5486	0.8271	0.8271	0.8271	|	0.4755	0.6964	0.6964	0.6964	|	0.4826	0.7428	0.7428	0.7428	|  Best result at epoch 30
32	0.4919	0.6733	|	0.4517	0.7683	0.7683	0.7683	|	0.4015	0.6786	0.6786	0.6786	|	0.4235	0.7444	0.7444	0.7444	|  Best result at epoch 30
33	0.6241	0.7634	|	0.4343	0.6390	0.6390	0.6390	|	0.4015	0.5714	0.5714	0.5714	|	0.3953	0.5801	0.5801	0.5801	|  Best result at epoch 30
34	0.7378	0.5372	|	0.5230	0.7861	0.7861	0.7861	|	0.4585	0.6696	0.6696	0.6696	|	0.4671	0.7115	0.7115	0.7115	|  Best result at epoch 30
35	0.5046	0.4684	|	0.5569	0.8440	0.8440	0.8440	|	0.4910	0.7321	0.7321	0.7321	|	0.4988	0.7812	0.7812	0.7812	|  Best result at epoch 30
36	0.4348	0.4331	|	0.5675	0.8556	0.8556	0.8556	|	0.4959	0.7321	0.7321	0.7321	|	0.5052	0.7853	0.7853	0.7853	|  Best result at epoch 30
37	0.4042	0.4150	|	0.5738	0.8627	0.8627	0.8627	|	0.4959	0.7321	0.7321	0.7321	|	0.5055	0.7853	0.7853	0.7853	|  Best result at epoch 30
38	0.3827	0.3982	|	0.5761	0.8681	0.8681	0.8681	|	0.5199	0.7679	0.7679	0.7679	|	0.5078	0.7949	0.7949	0.7949	|  Best result at epoch 38
39	0.3722	0.4539	|	0.5525	0.8307	0.8307	0.8307	|	0.4643	0.6786	0.6786	0.6786	|	0.4815	0.7404	0.7404	0.7404	|  Best result at epoch 38
40	0.4250	1.0721	|	0.4453	0.7647	0.7647	0.7647	|	0.3844	0.6696	0.6696	0.6696	|	0.4050	0.7364	0.7364	0.7364	|  Best result at epoch 38
41	1.0122	0.9512	|	0.3454	0.5000	0.5000	0.5000	|	0.3566	0.5089	0.5089	0.5089	|	0.3356	0.4856	0.4856	0.4856	|  Best result at epoch 38
42	0.9406	0.7588	|	0.4777	0.7103	0.7103	0.7103	|	0.4350	0.6250	0.6250	0.6250	|	0.4354	0.6506	0.6506	0.6506	|  Best result at epoch 38
43	0.7382	0.5660	|	0.5499	0.8271	0.8271	0.8271	|	0.4904	0.7143	0.7143	0.7143	|	0.4838	0.7436	0.7436	0.7436	|  Best result at epoch 38
44	0.5400	0.4904	|	0.5590	0.8414	0.8414	0.8414	|	0.4961	0.7232	0.7232	0.7232	|	0.4940	0.7620	0.7620	0.7620	|  Best result at epoch 38
45	0.4654	0.4313	|	0.5641	0.8494	0.8494	0.8494	|	0.5000	0.7321	0.7321	0.7321	|	0.5007	0.7748	0.7748	0.7748	|  Best result at epoch 38
46	0.4078	0.3908	|	0.5688	0.8565	0.8565	0.8565	|	0.5114	0.7500	0.7500	0.7500	|	0.5057	0.7845	0.7845	0.7845	|  Best result at epoch 38
47	0.3678	0.3638	|	0.5713	0.8601	0.8601	0.8601	|	0.5057	0.7411	0.7411	0.7411	|	0.5115	0.7925	0.7925	0.7925	|  Best result at epoch 38
48	0.3408	0.3415	|	0.5775	0.8690	0.8690	0.8690	|	0.5094	0.7500	0.7500	0.7500	|	0.5137	0.7957	0.7957	0.7957	|  Best result at epoch 38
49	0.3191	0.3228	|	0.5794	0.8708	0.8708	0.8708	|	0.5037	0.7411	0.7411	0.7411	|	0.5139	0.7957	0.7957	0.7957	|  Best result at epoch 38
50	0.3000	0.3137	|	0.6017	0.8886	0.8886	0.8886	|	0.5240	0.7679	0.7679	0.7679	|	0.5200	0.8021	0.8021	0.8021	|  Best result at epoch 38
51	0.2903	0.3457	|	0.5765	0.8663	0.8663	0.8663	|	0.4943	0.7232	0.7232	0.7232	|	0.5040	0.7804	0.7804	0.7804	|  Best result at epoch 38
52	0.3229	0.3699	|	0.5789	0.8619	0.8619	0.8619	|	0.4784	0.7321	0.7321	0.7321	|	0.4971	0.7877	0.7877	0.7877	|  Best result at epoch 38
53	0.3491	0.2846	|	0.5804	0.8717	0.8717	0.8717	|	0.4867	0.7143	0.7143	0.7143	|	0.5048	0.7812	0.7812	0.7812	|  Best result at epoch 38
54	0.2653	0.2640	|	0.5906	0.8841	0.8841	0.8841	|	0.4930	0.7232	0.7232	0.7232	|	0.5146	0.7965	0.7965	0.7965	|  Best result at epoch 38
55	0.2453	0.2562	|	0.5919	0.8859	0.8859	0.8859	|	0.4930	0.7232	0.7232	0.7232	|	0.5149	0.7981	0.7981	0.7981	|  Best result at epoch 38
56	0.2368	0.2494	|	0.5940	0.8886	0.8886	0.8886	|	0.4988	0.7321	0.7321	0.7321	|	0.5149	0.7981	0.7981	0.7981	|  Best result at epoch 38
57	0.2296	0.2427	|	0.5949	0.8895	0.8895	0.8895	|	0.5045	0.7411	0.7411	0.7411	|	0.5154	0.7989	0.7989	0.7989	|  Best result at epoch 38
58	0.2228	0.2373	|	0.5956	0.8904	0.8904	0.8904	|	0.5045	0.7411	0.7411	0.7411	|	0.5164	0.7997	0.7997	0.7997	|  Best result at epoch 38
59	0.2165	0.2313	|	0.5957	0.8904	0.8904	0.8904	|	0.5045	0.7411	0.7411	0.7411	|	0.5164	0.7989	0.7989	0.7989	|  Best result at epoch 38
60	0.2106	0.2266	|	0.5961	0.8913	0.8913	0.8913	|	0.5045	0.7411	0.7411	0.7411	|	0.5182	0.8013	0.8013	0.8013	|  Best result at epoch 38
61	0.2047	0.2205	|	0.5964	0.8922	0.8922	0.8922	|	0.5045	0.7411	0.7411	0.7411	|	0.5148	0.7973	0.7973	0.7973	|  Best result at epoch 38
62	0.1987	0.2149	|	0.6025	0.8966	0.8966	0.8966	|	0.5136	0.7500	0.7500	0.7500	|	0.5174	0.8013	0.8013	0.8013	|  Best result at epoch 38
63	0.1950	0.2104	|	0.5966	0.8922	0.8922	0.8922	|	0.5045	0.7411	0.7411	0.7411	|	0.5143	0.7965	0.7965	0.7965	|  Best result at epoch 38
64	0.1893	0.2078	|	0.6098	0.9002	0.9002	0.9002	|	0.5150	0.7500	0.7500	0.7500	|	0.5209	0.8053	0.8053	0.8053	|  Best result at epoch 38
65	0.1885	0.2130	|	0.5960	0.8922	0.8922	0.8922	|	0.4988	0.7321	0.7321	0.7321	|	0.5085	0.7861	0.7861	0.7861	|  Best result at epoch 38
66	0.1890	0.2233	|	0.6215	0.9064	0.9064	0.9064	|	0.5170	0.7589	0.7589	0.7589	|	0.5162	0.7997	0.7997	0.7997	|  Best result at epoch 38
67	0.2010	0.2124	|	0.5948	0.8904	0.8904	0.8904	|	0.4924	0.7232	0.7232	0.7232	|	0.5018	0.7772	0.7772	0.7772	|  Best result at epoch 38
68	0.1887	0.1969	|	0.6115	0.9037	0.9037	0.9037	|	0.5117	0.7500	0.7500	0.7500	|	0.5196	0.8045	0.8045	0.8045	|  Best result at epoch 38
69	0.1782	0.1880	|	0.6025	0.8993	0.8993	0.8993	|	0.5045	0.7411	0.7411	0.7411	|	0.5153	0.7981	0.7981	0.7981	|  Best result at epoch 38
70	0.1648	0.1829	|	0.6048	0.9020	0.9020	0.9020	|	0.5054	0.7411	0.7411	0.7411	|	0.5169	0.8005	0.8005	0.8005	|  Best result at epoch 38
71	0.1603	0.1801	|	0.6072	0.9046	0.9046	0.9046	|	0.5113	0.7500	0.7500	0.7500	|	0.5189	0.8029	0.8029	0.8029	|  Best result at epoch 38
72	0.1572	0.1783	|	0.6115	0.9082	0.9082	0.9082	|	0.5136	0.7500	0.7500	0.7500	|	0.5187	0.8021	0.8021	0.8021	|  Best result at epoch 38
73	0.1546	0.1764	|	0.6125	0.9082	0.9082	0.9082	|	0.5136	0.7500	0.7500	0.7500	|	0.5173	0.8005	0.8005	0.8005	|  Best result at epoch 38
74	0.1521	0.1757	|	0.6151	0.9091	0.9091	0.9091	|	0.5136	0.7500	0.7500	0.7500	|	0.5188	0.8021	0.8021	0.8021	|  Best result at epoch 38
75	0.1500	0.1743	|	0.6141	0.9082	0.9082	0.9082	|	0.5076	0.7411	0.7411	0.7411	|	0.5152	0.7965	0.7965	0.7965	|  Best result at epoch 38
76	0.1481	0.1730	|	0.6212	0.9109	0.9109	0.9109	|	0.5150	0.7500	0.7500	0.7500	|	0.5229	0.8037	0.8037	0.8037	|  Best result at epoch 38
77	0.1472	0.1700	|	0.6188	0.9109	0.9109	0.9109	|	0.5150	0.7500	0.7500	0.7500	|	0.5194	0.8013	0.8013	0.8013	|  Best result at epoch 38
78	0.1437	0.1669	|	0.6235	0.9109	0.9109	0.9109	|	0.5150	0.7500	0.7500	0.7500	|	0.5212	0.8013	0.8013	0.8013	|  Best result at epoch 38
79	0.1412	0.1660	|	0.6207	0.9109	0.9109	0.9109	|	0.5089	0.7411	0.7411	0.7411	|	0.5171	0.7957	0.7957	0.7957	|  Best result at epoch 38
80	0.1398	0.1670	|	0.6685	0.9144	0.9144	0.9144	|	0.5070	0.7411	0.7411	0.7411	|	0.5451	0.8045	0.8045	0.8045	|  Best result at epoch 38
81	0.1414	0.1626	|	0.8375	0.9412	0.9412	0.9412	|	0.6215	0.7679	0.7679	0.7679	|	0.6700	0.8197	0.8197	0.8197	|  Best result at epoch 38
82	0.1359	0.1586	|	0.8450	0.9421	0.9421	0.9421	|	0.5725	0.7589	0.7589	0.7589	|	0.6611	0.8173	0.8173	0.8173	|  Best result at epoch 38
