Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0962	2.7841	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
1	2.7933	1.0631	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
2	1.0633	0.9651	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
3	0.9655	0.8211	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
4	0.8223	0.9083	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
5	0.9129	0.9287	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
6	0.9299	0.8481	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
7	0.8497	0.7997	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
8	0.8020	0.7805	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
9	0.7831	0.7612	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
10	0.7631	0.9535	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
11	0.9590	0.9305	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
12	0.9315	0.8712	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
13	0.8725	0.8234	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
14	0.8249	0.7762	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
15	0.7781	0.7119	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
16	0.7142	0.6140	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
17	0.6173	0.6573	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
18	0.6651	0.9347	|	0.3151	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.3153	0.6787	0.6787	0.6787	|  Best result at epoch 0
