Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0976	9.2188	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 0
1	9.2546	1.5526	|	0.1899	0.3983	0.3983	0.3983	|	0.1924	0.4056	0.4056	0.4056	|	0.1916	0.4033	0.4033	0.4033	|  Best result at epoch 1
2	1.5511	1.0776	|	0.1899	0.3983	0.3983	0.3983	|	0.1924	0.4056	0.4056	0.4056	|	0.1916	0.4033	0.4033	0.4033	|  Best result at epoch 1
3	1.0774	1.0696	|	0.1899	0.3983	0.3983	0.3983	|	0.1924	0.4056	0.4056	0.4056	|	0.1916	0.4033	0.4033	0.4033	|  Best result at epoch 1
4	1.0695	1.0611	|	0.1899	0.3983	0.3983	0.3983	|	0.1924	0.4056	0.4056	0.4056	|	0.1916	0.4033	0.4033	0.4033	|  Best result at epoch 1
5	1.0615	1.0560	|	0.1899	0.3983	0.3983	0.3983	|	0.1924	0.4056	0.4056	0.4056	|	0.1916	0.4033	0.4033	0.4033	|  Best result at epoch 1
6	1.0568	1.0695	|	0.1923	0.3960	0.3960	0.3960	|	0.1955	0.4049	0.4049	0.4049	|	0.1910	0.3950	0.3950	0.3950	|  Best result at epoch 1
7	1.0699	1.0604	|	0.2501	0.4095	0.4095	0.4095	|	0.2540	0.4163	0.4163	0.4163	|	0.2732	0.4269	0.4269	0.4269	|  Best result at epoch 7
8	1.0610	1.0503	|	0.2501	0.4095	0.4095	0.4095	|	0.2550	0.4170	0.4170	0.4170	|	0.2732	0.4269	0.4269	0.4269	|  Best result at epoch 8
9	1.0510	1.1015	|	0.1899	0.3983	0.3983	0.3983	|	0.1924	0.4056	0.4056	0.4056	|	0.1916	0.4033	0.4033	0.4033	|  Best result at epoch 8
10	1.1019	1.0845	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 8
11	1.0851	1.0707	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 8
12	1.0716	1.0630	|	0.2185	0.3998	0.3998	0.3998	|	0.2300	0.4094	0.4094	0.4094	|	0.2266	0.4049	0.4049	0.4049	|  Best result at epoch 8
13	1.0637	1.0568	|	0.2525	0.4111	0.4111	0.4111	|	0.2564	0.4186	0.4186	0.4186	|	0.2728	0.4262	0.4262	0.4262	|  Best result at epoch 13
14	1.0577	1.0540	|	0.2628	0.4000	0.4000	0.4000	|	0.2721	0.4125	0.4125	0.4125	|	0.2850	0.4239	0.4239	0.4239	|  Best result at epoch 13
15	1.0549	1.0631	|	0.2523	0.4107	0.4107	0.4107	|	0.2540	0.4163	0.4163	0.4163	|	0.2747	0.4277	0.4277	0.4277	|  Best result at epoch 13
16	1.0636	1.0417	|	0.2606	0.4128	0.4128	0.4128	|	0.2618	0.4186	0.4186	0.4186	|	0.2845	0.4323	0.4323	0.4323	|  Best result at epoch 13
17	1.0427	1.0146	|	0.2873	0.4303	0.4303	0.4303	|	0.2812	0.4307	0.4307	0.4307	|	0.3057	0.4543	0.4543	0.4543	|  Best result at epoch 17
18	1.0154	1.0726	|	0.2612	0.3940	0.3940	0.3940	|	0.2649	0.4026	0.4026	0.4026	|	0.2756	0.4056	0.4056	0.4056	|  Best result at epoch 17
19	1.0729	1.0198	|	0.2501	0.4173	0.4173	0.4173	|	0.2579	0.4254	0.4254	0.4254	|	0.2705	0.4292	0.4292	0.4292	|  Best result at epoch 17
20	1.0207	1.4005	|	0.1922	0.3987	0.3987	0.3987	|	0.1953	0.4064	0.4064	0.4064	|	0.1964	0.4049	0.4049	0.4049	|  Best result at epoch 17
21	1.4020	1.2168	|	0.2112	0.3070	0.3070	0.3070	|	0.2157	0.3143	0.3143	0.3143	|	0.2040	0.2976	0.2976	0.2976	|  Best result at epoch 17
22	1.2158	1.0896	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 17
23	1.0902	1.0813	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 17
24	1.0819	1.0744	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 17
25	1.0750	1.0684	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 17
26	1.0691	1.0618	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 17
27	1.0625	1.0539	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 17
28	1.0546	1.0443	|	0.1887	0.3949	0.3949	0.3949	|	0.1919	0.4041	0.4041	0.4041	|	0.1885	0.3942	0.3942	0.3942	|  Best result at epoch 17
29	1.0450	1.0299	|	0.2900	0.4451	0.4451	0.4451	|	0.3012	0.4604	0.4604	0.4604	|	0.2977	0.4543	0.4543	0.4543	|  Best result at epoch 29
30	1.0305	1.0124	|	0.3000	0.4510	0.4510	0.4510	|	0.3165	0.4726	0.4726	0.4726	|	0.3096	0.4635	0.4635	0.4635	|  Best result at epoch 30
31	1.0132	1.0062	|	0.3773	0.5142	0.5142	0.5142	|	0.3711	0.5129	0.5129	0.5129	|	0.3872	0.5289	0.5289	0.5289	|  Best result at epoch 31
32	1.0064	1.0148	|	0.4387	0.4632	0.4632	0.4632	|	0.4606	0.4817	0.4817	0.4817	|	0.4555	0.4718	0.4718	0.4718	|  Best result at epoch 31
33	1.0159	1.0277	|	0.3156	0.4729	0.4729	0.4729	|	0.3037	0.4688	0.4688	0.4688	|	0.3150	0.4756	0.4756	0.4756	|  Best result at epoch 31
