Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0985	2.0173	|	0.2622	0.3851	0.3851	0.3851	|	0.2519	0.3841	0.3841	0.3841	|	0.2585	0.3659	0.3659	0.3659	|  Best result at epoch 0
1	2.0226	1.0954	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 1
2	1.0954	1.0819	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 1
3	1.0821	1.0650	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 1
4	1.0654	1.0508	|	0.2490	0.3988	0.3988	0.3988	|	0.2227	0.3720	0.3720	0.3720	|	0.2672	0.4024	0.4024	0.4024	|  Best result at epoch 1
5	1.0516	1.0609	|	0.1869	0.3896	0.3896	0.3896	|	0.2267	0.4817	0.4817	0.4817	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 5
6	1.0613	1.0841	|	0.2490	0.3988	0.3988	0.3988	|	0.2227	0.3720	0.3720	0.3720	|	0.2672	0.4024	0.4024	0.4024	|  Best result at epoch 5
7	1.0848	1.0819	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 5
8	1.0822	1.0751	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 5
9	1.0754	1.0695	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 5
10	1.0699	1.0623	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 5
11	1.0627	1.0580	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 5
12	1.0584	1.0530	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 5
13	1.0535	1.0484	|	0.3392	0.4490	0.4490	0.4490	|	0.3509	0.4878	0.4878	0.4878	|	0.3399	0.4512	0.4512	0.4512	|  Best result at epoch 13
14	1.0487	1.0372	|	0.1911	0.3896	0.3896	0.3896	|	0.2167	0.4756	0.4756	0.4756	|	0.2009	0.4207	0.4207	0.4207	|  Best result at epoch 13
15	1.0377	1.0325	|	0.3447	0.4566	0.4566	0.4566	|	0.3403	0.4695	0.4695	0.4695	|	0.3365	0.4451	0.4451	0.4451	|  Best result at epoch 13
16	1.0327	1.0351	|	0.1894	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.2000	0.4207	0.4207	0.4207	|  Best result at epoch 13
17	1.0358	1.0241	|	0.3294	0.4566	0.4566	0.4566	|	0.3241	0.4634	0.4634	0.4634	|	0.2923	0.4146	0.4146	0.4146	|  Best result at epoch 13
18	1.0242	0.9955	|	0.2886	0.4338	0.4338	0.4338	|	0.2955	0.4939	0.4939	0.4939	|	0.3033	0.4512	0.4512	0.4512	|  Best result at epoch 18
19	0.9959	0.9665	|	0.3654	0.4855	0.4855	0.4855	|	0.3752	0.5244	0.5244	0.5244	|	0.3723	0.4939	0.4939	0.4939	|  Best result at epoch 19
20	0.9666	0.9430	|	0.2931	0.4399	0.4399	0.4399	|	0.2983	0.5000	0.5000	0.5000	|	0.3096	0.4634	0.4634	0.4634	|  Best result at epoch 19
