Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0985	2.0324	|	0.2622	0.3851	0.3851	0.3851	|	0.2519	0.3841	0.3841	0.3841	|	0.2585	0.3659	0.3659	0.3659	|  Best result at epoch 0
1	2.0384	1.0944	|	0.2553	0.3820	0.3820	0.3820	|	0.2684	0.4573	0.4573	0.4573	|	0.2631	0.4024	0.4024	0.4024	|  Best result at epoch 1
2	1.0944	1.0787	|	0.1866	0.3881	0.3881	0.3881	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
3	1.0789	1.0563	|	0.2608	0.3851	0.3851	0.3851	|	0.2980	0.4268	0.4268	0.4268	|	0.3462	0.4695	0.4695	0.4695	|  Best result at epoch 2
4	1.0568	1.2229	|	0.1859	0.3866	0.3866	0.3866	|	0.1786	0.3659	0.3659	0.3659	|	0.1764	0.3598	0.3598	0.3598	|  Best result at epoch 2
5	1.2244	1.0832	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
6	1.0835	1.0760	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
7	1.0764	1.0706	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
8	1.0710	1.0653	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
9	1.0657	1.0651	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
10	1.0656	1.0541	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
11	1.0545	1.0278	|	0.1869	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
12	1.0282	1.0743	|	0.1926	0.3257	0.3257	0.3257	|	0.2501	0.4207	0.4207	0.4207	|	0.2216	0.3963	0.3963	0.3963	|  Best result at epoch 2
13	1.0745	0.9932	|	0.1880	0.3896	0.3896	0.3896	|	0.2149	0.4756	0.4756	0.4756	|	0.1974	0.4207	0.4207	0.4207	|  Best result at epoch 2
