Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0985	2.0623	|	0.2672	0.3965	0.3965	0.3965	|	0.2676	0.3963	0.3963	0.3963	|	0.2745	0.4055	0.4055	0.4055	|  Best result at epoch 0
1	2.0628	1.0965	|	0.1864	0.3881	0.3881	0.3881	|	0.1892	0.3963	0.3963	0.3963	|	0.1903	0.3995	0.3995	0.3995	|  Best result at epoch 0
2	1.0965	1.0790	|	0.2159	0.4079	0.4079	0.4079	|	0.2084	0.3902	0.3902	0.3902	|	0.2112	0.4025	0.4025	0.4025	|  Best result at epoch 0
3	1.0789	1.0534	|	0.3392	0.4559	0.4559	0.4559	|	0.3486	0.4665	0.4665	0.4665	|	0.3500	0.4703	0.4703	0.4703	|  Best result at epoch 3
4	1.0532	1.4291	|	0.1864	0.3881	0.3881	0.3881	|	0.1892	0.3963	0.3963	0.3963	|	0.1903	0.3995	0.3995	0.3995	|  Best result at epoch 3
5	1.4332	1.0872	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
6	1.0868	1.0802	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
7	1.0799	1.0746	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
8	1.0743	1.0774	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
9	1.0771	1.0697	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
10	1.0694	1.0665	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
11	1.0661	1.0643	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
12	1.0640	1.0573	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
13	1.0570	1.0572	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
14	1.0570	1.0597	|	0.1916	0.4033	0.4033	0.4033	|	0.1840	0.3811	0.3811	0.3811	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 3
15	1.0593	1.0381	|	0.2723	0.4406	0.4406	0.4406	|	0.2818	0.4390	0.4390	0.4390	|	0.2771	0.4414	0.4414	0.4414	|  Best result at epoch 3
16	1.0377	1.0139	|	0.3215	0.4795	0.4795	0.4795	|	0.3082	0.4543	0.4543	0.4543	|	0.3157	0.4703	0.4703	0.4703	|  Best result at epoch 3
17	1.0134	0.9963	|	0.4181	0.5540	0.5540	0.5540	|	0.4328	0.5671	0.5671	0.5671	|	0.4224	0.5595	0.5595	0.5595	|  Best result at epoch 17
18	0.9959	1.0315	|	0.2627	0.4437	0.4437	0.4437	|	0.2636	0.4299	0.4299	0.4299	|	0.2637	0.4378	0.4378	0.4378	|  Best result at epoch 17
19	1.0304	0.9758	|	0.3974	0.5365	0.5365	0.5365	|	0.3876	0.5274	0.5274	0.5274	|	0.3920	0.5336	0.5336	0.5336	|  Best result at epoch 17
20	0.9757	0.9495	|	0.3610	0.5183	0.5183	0.5183	|	0.3574	0.5030	0.5030	0.5030	|	0.3611	0.5141	0.5141	0.5141	|  Best result at epoch 17
21	0.9482	0.8790	|	0.5884	0.6043	0.6043	0.6043	|	0.6024	0.6128	0.6128	0.6128	|	0.5825	0.5939	0.5939	0.5939	|  Best result at epoch 21
22	0.8781	0.8511	|	0.4268	0.5769	0.5769	0.5769	|	0.4235	0.5640	0.5640	0.5640	|	0.4268	0.5762	0.5762	0.5762	|  Best result at epoch 21
23	0.8500	0.8306	|	0.6088	0.6225	0.6225	0.6225	|	0.6433	0.6494	0.6494	0.6494	|	0.5992	0.6088	0.6088	0.6088	|  Best result at epoch 23
24	0.8299	1.0785	|	0.3266	0.4932	0.4932	0.4932	|	0.3264	0.4787	0.4787	0.4787	|	0.3262	0.4877	0.4877	0.4877	|  Best result at epoch 23
25	1.0752	1.0433	|	0.3820	0.5274	0.5274	0.5274	|	0.3787	0.5244	0.5244	0.5244	|	0.3805	0.5303	0.5303	0.5303	|  Best result at epoch 23
26	1.0445	0.9131	|	0.3981	0.5533	0.5533	0.5533	|	0.3884	0.5366	0.5366	0.5366	|	0.3858	0.5412	0.5412	0.5412	|  Best result at epoch 23
