Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
0	0.6931	0.7910	|	0.5781	0.0000	0.0000	0.0000	|	0.5057	0.0000	0.0000	0.0000	|	0.5190	0.0000	0.0000	0.0000	|  Best result at epoch 0
1	0.8004	0.6913	|	0.4523	0.0000	0.0000	0.0000	|	0.4631	0.0000	0.0000	0.0000	|	0.4937	0.0000	0.0000	0.0000	|  Best result at epoch 0
2	0.6919	0.6886	|	0.5317	0.0000	0.0000	0.0000	|	0.5220	0.0000	0.0000	0.0000	|	0.5137	0.0000	0.0000	0.0000	|  Best result at epoch 0
3	0.6911	0.6898	|	0.5303	0.0000	0.0000	0.0000	|	0.5190	0.0000	0.0000	0.0000	|	0.4998	0.0000	0.0000	0.0000	|  Best result at epoch 0
4	0.6911	0.6888	|	0.4757	0.0000	0.0000	0.0000	|	0.5005	0.0000	0.0000	0.0000	|	0.4996	0.0000	0.0000	0.0000	|  Best result at epoch 0
5	0.6909	0.6891	|	0.5583	0.0000	0.0000	0.0000	|	0.5351	0.0000	0.0000	0.0000	|	0.5084	0.0000	0.0000	0.0000	|  Best result at epoch 0
6	0.6909	0.6889	|	0.5629	0.0000	0.0000	0.0000	|	0.5391	0.0000	0.0000	0.0000	|	0.5101	0.0000	0.0000	0.0000	|  Best result at epoch 0
7	0.6908	0.6890	|	0.5683	0.0000	0.0000	0.0000	|	0.5477	0.0000	0.0000	0.0000	|	0.5113	0.0000	0.0000	0.0000	|  Best result at epoch 0
8	0.6908	0.6890	|	0.5470	0.0000	0.0000	0.0000	|	0.5346	0.0000	0.0000	0.0000	|	0.5003	0.0000	0.0000	0.0000	|  Best result at epoch 0
9	0.6908	0.6889	|	0.5598	0.0000	0.0000	0.0000	|	0.5371	0.0000	0.0000	0.0000	|	0.5042	0.0000	0.0000	0.0000	|  Best result at epoch 0
10	0.6908	0.6890	|	0.5657	0.0000	0.0000	0.0000	|	0.5375	0.0000	0.0000	0.0000	|	0.5070	0.0000	0.0000	0.0000	|  Best result at epoch 0
11	0.6908	0.6889	|	0.5844	0.0000	0.0000	0.0000	|	0.5383	0.0000	0.0000	0.0000	|	0.5123	0.0000	0.0000	0.0000	|  Best result at epoch 0
12	0.6908	0.6891	|	0.5795	0.0000	0.0000	0.0000	|	0.5398	0.0000	0.0000	0.0000	|	0.5119	0.0000	0.0000	0.0000	|  Best result at epoch 0
13	0.6908	0.6888	|	0.5922	0.0000	0.0000	0.0000	|	0.5267	0.0000	0.0000	0.0000	|	0.5145	0.0000	0.0000	0.0000	|  Best result at epoch 0
14	0.6908	0.6892	|	0.5783	0.0000	0.0000	0.0000	|	0.5403	0.0000	0.0000	0.0000	|	0.5107	0.0000	0.0000	0.0000	|  Best result at epoch 0
15	0.6909	0.6887	|	0.5996	0.0000	0.0000	0.0000	|	0.5215	0.0000	0.0000	0.0000	|	0.5167	0.0000	0.0000	0.0000	|  Best result at epoch 0
16	0.6909	0.6896	|	0.6012	0.0000	0.0000	0.0000	|	0.5382	0.0000	0.0000	0.0000	|	0.5238	0.0000	0.0000	0.0000	|  Best result at epoch 0
17	0.6910	0.6886	|	0.6140	0.0000	0.0000	0.0000	|	0.5297	0.0000	0.0000	0.0000	|	0.5240	0.0000	0.0000	0.0000	|  Best result at epoch 0
18	0.6910	0.6895	|	0.6120	0.0000	0.0000	0.0000	|	0.5440	0.0000	0.0000	0.0000	|	0.5215	0.0000	0.0000	0.0000	|  Best result at epoch 0
19	0.6909	0.6888	|	0.6236	0.0000	0.0000	0.0000	|	0.5279	0.0000	0.0000	0.0000	|	0.5249	0.0000	0.0000	0.0000	|  Best result at epoch 0
20	0.6903	0.6905	|	0.6035	0.0000	0.0000	0.0000	|	0.5550	0.0000	0.0000	0.0000	|	0.5120	0.0000	0.0000	0.0000	|  Best result at epoch 0
21	0.6913	0.6886	|	0.6496	0.0000	0.0000	0.0000	|	0.5462	0.0000	0.0000	0.0000	|	0.5213	0.0000	0.0000	0.0000	|  Best result at epoch 0
22	0.6915	0.6898	|	0.5622	0.0000	0.0000	0.0000	|	0.5457	0.0000	0.0000	0.0000	|	0.5172	0.0000	0.0000	0.0000	|  Best result at epoch 0
23	0.6906	0.6885	|	0.6530	0.0000	0.0000	0.0000	|	0.5249	0.0000	0.0000	0.0000	|	0.5227	0.0000	0.0000	0.0000	|  Best result at epoch 0
24	0.6911	0.6901	|	0.5114	0.0000	0.0000	0.0000	|	0.5100	0.0000	0.0000	0.0000	|	0.5098	0.0000	0.0000	0.0000	|  Best result at epoch 0
25	0.6907	0.6884	|	0.6512	0.0000	0.0000	0.0000	|	0.5410	0.0000	0.0000	0.0000	|	0.5305	0.0000	0.0000	0.0000	|  Best result at epoch 0
26	0.6902	0.6877	|	0.6376	0.0000	0.0000	0.0000	|	0.5680	0.0000	0.0000	0.0000	|	0.5163	0.0000	0.0000	0.0000	|  Best result at epoch 0
27	0.6872	0.7090	|	0.6533	0.0000	0.0000	0.0000	|	0.5644	0.0000	0.0000	0.0000	|	0.5271	0.0000	0.0000	0.0000	|  Best result at epoch 0
28	0.6932	0.6964	|	0.6335	0.6358	0.4661	1.0000	|	0.5763	0.6227	0.4522	1.0000	|	0.5075	0.6476	0.4789	1.0000	|  Best result at epoch 28
29	0.6951	0.6924	|	0.3813	0.0000	0.0000	0.0000	|	0.4511	0.0000	0.0000	0.0000	|	0.5021	0.0000	0.0000	0.0000	|  Best result at epoch 28
30	0.6927	0.6911	|	0.6375	0.0000	0.0000	0.0000	|	0.5775	0.0000	0.0000	0.0000	|	0.5081	0.0000	0.0000	0.0000	|  Best result at epoch 28
31	0.6914	0.6941	|	0.6403	0.6507	0.4939	0.9533	|	0.5778	0.6337	0.4734	0.9585	|	0.5078	0.6322	0.4825	0.9167	|  Best result at epoch 31
32	0.6893	0.6892	|	0.3320	0.0000	0.0000	0.0000	|	0.4194	0.0000	0.0000	0.0000	|	0.4897	0.0000	0.0000	0.0000	|  Best result at epoch 31
33	0.6917	0.6884	|	0.6671	0.0000	0.0000	0.0000	|	0.5822	0.0000	0.0000	0.0000	|	0.5112	0.0000	0.0000	0.0000	|  Best result at epoch 31
34	0.6892	0.6867	|	0.6712	0.0346	0.7674	0.0177	|	0.5827	0.0244	0.6000	0.0124	|	0.5115	0.0250	0.6842	0.0127	|  Best result at epoch 31
35	0.6844	0.6870	|	0.6855	0.6062	0.5925	0.6205	|	0.5831	0.5409	0.5092	0.5768	|	0.5101	0.4894	0.4833	0.4956	|  Best result at epoch 31
36	0.6654	2.0783	|	0.7156	0.6644	0.5170	0.9291	|	0.5820	0.6229	0.4749	0.9046	|	0.5166	0.6268	0.4872	0.8786	|  Best result at epoch 31
37	1.6047	0.6925	|	0.6929	0.2614	0.7731	0.1573	|	0.5476	0.1781	0.5098	0.1079	|	0.5099	0.1710	0.5598	0.1009	|  Best result at epoch 31
38	0.6757	0.6932	|	0.7125	0.3263	0.7674	0.2072	|	0.5684	0.2334	0.4868	0.1535	|	0.5187	0.2156	0.5480	0.1342	|  Best result at epoch 31
39	0.6686	0.6944	|	0.7153	0.3711	0.7617	0.2453	|	0.5713	0.2492	0.4659	0.1701	|	0.5190	0.2445	0.5329	0.1587	|  Best result at epoch 31
40	0.6629	0.6969	|	0.7185	0.4099	0.7550	0.2813	|	0.5730	0.2957	0.4904	0.2116	|	0.5196	0.2820	0.5387	0.1910	|  Best result at epoch 31
41	0.6566	0.6994	|	0.7214	0.4697	0.7232	0.3478	|	0.5739	0.3368	0.4604	0.2656	|	0.5203	0.3313	0.5166	0.2439	|  Best result at epoch 31
