Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
0	0.6931	0.7974	|	0.5783	0.0000	0.0000	0.0000	|	0.5062	0.0000	0.0000	0.0000	|	0.5171	0.0000	0.0000	0.0000	|  Best result at epoch 0
1	0.8072	0.6912	|	0.5146	0.0000	0.0000	0.0000	|	0.5095	0.0000	0.0000	0.0000	|	0.5002	0.0000	0.0000	0.0000	|  Best result at epoch 0
2	0.6918	0.6887	|	0.4936	0.0000	0.0000	0.0000	|	0.5263	0.0000	0.0000	0.0000	|	0.5092	0.0000	0.0000	0.0000	|  Best result at epoch 0
3	0.6909	0.6917	|	0.5222	0.0000	0.0000	0.0000	|	0.5244	0.0000	0.0000	0.0000	|	0.5088	0.0000	0.0000	0.0000	|  Best result at epoch 0
4	0.6922	0.6886	|	0.5239	0.0000	0.0000	0.0000	|	0.5360	0.0000	0.0000	0.0000	|	0.5016	0.0000	0.0000	0.0000	|  Best result at epoch 0
5	0.6910	0.6893	|	0.4792	0.0000	0.0000	0.0000	|	0.4977	0.0000	0.0000	0.0000	|	0.4979	0.0000	0.0000	0.0000	|  Best result at epoch 0
6	0.6909	0.6888	|	0.4933	0.0000	0.0000	0.0000	|	0.4948	0.0000	0.0000	0.0000	|	0.4980	0.0000	0.0000	0.0000	|  Best result at epoch 0
7	0.6909	0.6892	|	0.5217	0.0000	0.0000	0.0000	|	0.5273	0.0000	0.0000	0.0000	|	0.4960	0.0000	0.0000	0.0000	|  Best result at epoch 0
8	0.6909	0.6889	|	0.5343	0.0000	0.0000	0.0000	|	0.5285	0.0000	0.0000	0.0000	|	0.4985	0.0000	0.0000	0.0000	|  Best result at epoch 0
9	0.6908	0.6890	|	0.5398	0.0000	0.0000	0.0000	|	0.5307	0.0000	0.0000	0.0000	|	0.4994	0.0000	0.0000	0.0000	|  Best result at epoch 0
10	0.6908	0.6889	|	0.5452	0.0000	0.0000	0.0000	|	0.5324	0.0000	0.0000	0.0000	|	0.5001	0.0000	0.0000	0.0000	|  Best result at epoch 0
11	0.6908	0.6890	|	0.5496	0.0000	0.0000	0.0000	|	0.5329	0.0000	0.0000	0.0000	|	0.5011	0.0000	0.0000	0.0000	|  Best result at epoch 0
12	0.6908	0.6889	|	0.5530	0.0000	0.0000	0.0000	|	0.5333	0.0000	0.0000	0.0000	|	0.5022	0.0000	0.0000	0.0000	|  Best result at epoch 0
13	0.6908	0.6890	|	0.5563	0.0000	0.0000	0.0000	|	0.5340	0.0000	0.0000	0.0000	|	0.5017	0.0000	0.0000	0.0000	|  Best result at epoch 0
14	0.6908	0.6889	|	0.5584	0.0000	0.0000	0.0000	|	0.5376	0.0000	0.0000	0.0000	|	0.5015	0.0000	0.0000	0.0000	|  Best result at epoch 0
15	0.6908	0.6890	|	0.5639	0.0000	0.0000	0.0000	|	0.5393	0.0000	0.0000	0.0000	|	0.5025	0.0000	0.0000	0.0000	|  Best result at epoch 0
16	0.6908	0.6889	|	0.5732	0.0000	0.0000	0.0000	|	0.5486	0.0000	0.0000	0.0000	|	0.5061	0.0000	0.0000	0.0000	|  Best result at epoch 0
17	0.6908	0.6889	|	0.5878	0.0000	0.0000	0.0000	|	0.5521	0.0000	0.0000	0.0000	|	0.5125	0.0000	0.0000	0.0000	|  Best result at epoch 0
18	0.6908	0.6885	|	0.6185	0.0000	0.0000	0.0000	|	0.5349	0.0000	0.0000	0.0000	|	0.5238	0.0000	0.0000	0.0000	|  Best result at epoch 0
