Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0986	1.3655	|	0.1903	0.3994	0.3994	0.3994	|	0.1902	0.3993	0.3993	0.3993	|	0.1903	0.3995	0.3995	0.3995	|  Best result at epoch 0
1	1.3734	1.0939	|	0.1879	0.3925	0.3925	0.3925	|	0.1879	0.3926	0.3926	0.3926	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 0
2	1.0940	1.0803	|	0.1879	0.3925	0.3925	0.3925	|	0.1879	0.3926	0.3926	0.3926	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 0
3	1.0806	1.0679	|	0.1879	0.3925	0.3925	0.3925	|	0.1879	0.3926	0.3926	0.3926	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 0
4	1.0680	1.0646	|	0.1879	0.3925	0.3925	0.3925	|	0.1879	0.3926	0.3926	0.3926	|	0.1879	0.3925	0.3925	0.3925	|  Best result at epoch 0
5	1.0653	1.0708	|	0.1903	0.3994	0.3994	0.3994	|	0.1902	0.3993	0.3993	0.3993	|	0.1903	0.3995	0.3995	0.3995	|  Best result at epoch 0
6	1.0707	1.0599	|	0.2560	0.4114	0.4114	0.4114	|	0.2557	0.4114	0.4114	0.4114	|	0.2647	0.4162	0.4162	0.4162	|  Best result at epoch 6
7	1.0599	1.0583	|	0.2677	0.4010	0.4010	0.4010	|	0.2684	0.4029	0.4029	0.4029	|	0.2745	0.4055	0.4055	0.4055	|  Best result at epoch 6
8	1.0584	1.0584	|	0.2535	0.4140	0.4140	0.4140	|	0.2515	0.4114	0.4114	0.4114	|	0.2642	0.4204	0.4204	0.4204	|  Best result at epoch 6
9	1.0584	1.0399	|	0.2811	0.3894	0.3894	0.3894	|	0.2873	0.3965	0.3965	0.3965	|	0.2909	0.3985	0.3985	0.3985	|  Best result at epoch 6
10	1.0401	1.1085	|	0.3233	0.4382	0.4382	0.4382	|	0.3274	0.4437	0.4437	0.4437	|	0.3328	0.4512	0.4512	0.4512	|  Best result at epoch 10
11	1.1113	1.0709	|	0.1903	0.3994	0.3994	0.3994	|	0.1904	0.3993	0.3993	0.3993	|	0.1904	0.3995	0.3995	0.3995	|  Best result at epoch 10
12	1.0712	1.0559	|	0.1903	0.3994	0.3994	0.3994	|	0.1904	0.3993	0.3993	0.3993	|	0.1903	0.3995	0.3995	0.3995	|  Best result at epoch 10
13	1.0557	1.0148	|	0.2725	0.4086	0.4086	0.4086	|	0.2722	0.4093	0.4093	0.4093	|	0.2792	0.4125	0.4125	0.4125	|  Best result at epoch 10
14	1.0159	1.0123	|	0.2001	0.3946	0.3946	0.3946	|	0.1987	0.3944	0.3944	0.3944	|	0.2009	0.3958	0.3958	0.3958	|  Best result at epoch 10
15	1.0117	0.9728	|	0.2456	0.4160	0.4160	0.4160	|	0.2450	0.4163	0.4163	0.4163	|	0.2577	0.4198	0.4198	0.4198	|  Best result at epoch 10
16	0.9749	0.8525	|	0.5602	0.5682	0.5682	0.5682	|	0.5503	0.5587	0.5587	0.5587	|	0.5668	0.5750	0.5750	0.5750	|  Best result at epoch 16
17	0.8561	0.8824	|	0.5005	0.5540	0.5540	0.5540	|	0.4982	0.5520	0.5520	0.5520	|	0.5020	0.5549	0.5549	0.5549	|  Best result at epoch 16
18	0.8842	0.8211	|	0.4717	0.5344	0.5344	0.5344	|	0.4701	0.5335	0.5335	0.5335	|	0.4732	0.5351	0.5351	0.5351	|  Best result at epoch 16
19	0.8288	0.8539	|	0.4810	0.5282	0.5282	0.5282	|	0.4724	0.5216	0.5216	0.5216	|	0.4891	0.5348	0.5348	0.5348	|  Best result at epoch 16
