Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
0	0.6906	8.0907	|	0.6239	0.0000	0.0000	0.0000	|	0.6128	0.0000	0.0000	0.0000	|	0.6671	0.0000	0.0000	0.0000	|  Best result at epoch 0
1	8.1165	0.6945	|	0.6768	0.5908	0.4193	1.0000	|	0.7481	0.5758	0.4043	1.0000	|	0.6897	0.5958	0.4243	1.0000	|  Best result at epoch 1
2	0.6945	0.6867	|	0.6905	0.0000	0.0000	0.0000	|	0.7575	0.0000	0.0000	0.0000	|	0.7136	0.0000	0.0000	0.0000	|  Best result at epoch 1
3	0.6868	0.6736	|	0.6409	0.0000	0.0000	0.0000	|	0.6673	0.0000	0.0000	0.0000	|	0.6789	0.0000	0.0000	0.0000	|  Best result at epoch 1
4	0.6740	0.6521	|	0.6935	0.0000	0.0000	0.0000	|	0.7500	0.0000	0.0000	0.0000	|	0.7283	0.0000	0.0000	0.0000	|  Best result at epoch 1
5	0.6535	0.7429	|	0.4441	0.5908	0.4193	1.0000	|	0.5808	0.5758	0.4043	1.0000	|	0.4613	0.5958	0.4243	1.0000	|  Best result at epoch 1
6	0.7426	0.6855	|	0.6105	0.0000	0.0000	0.0000	|	0.5470	0.0000	0.0000	0.0000	|	0.6368	0.0000	0.0000	0.0000	|  Best result at epoch 1
7	0.6856	0.6797	|	0.6522	0.0000	0.0000	0.0000	|	0.5996	0.0000	0.0000	0.0000	|	0.6783	0.0000	0.0000	0.0000	|  Best result at epoch 1
8	0.6800	0.6771	|	0.6604	0.0000	0.0000	0.0000	|	0.6297	0.0000	0.0000	0.0000	|	0.6910	0.0000	0.0000	0.0000	|  Best result at epoch 1
9	0.6774	0.6724	|	0.7355	0.0000	0.0000	0.0000	|	0.7519	0.0000	0.0000	0.0000	|	0.7509	0.0000	0.0000	0.0000	|  Best result at epoch 1
10	0.6728	0.6697	|	0.6804	0.0000	0.0000	0.0000	|	0.6880	0.0000	0.0000	0.0000	|	0.7175	0.0000	0.0000	0.0000	|  Best result at epoch 1
11	0.6702	0.6723	|	0.7090	0.0000	0.0000	0.0000	|	0.7538	0.0000	0.0000	0.0000	|	0.7400	0.0000	0.0000	0.0000	|  Best result at epoch 1
12	0.6727	0.6680	|	0.7261	0.0000	0.0000	0.0000	|	0.7049	0.0000	0.0000	0.0000	|	0.7498	0.0000	0.0000	0.0000	|  Best result at epoch 1
13	0.6687	0.6429	|	0.7844	0.0000	0.0000	0.0000	|	0.7914	0.0000	0.0000	0.0000	|	0.7887	0.0059	1.0000	0.0030	|  Best result at epoch 1
14	0.6436	0.6101	|	0.8011	0.1382	0.8824	0.0750	|	0.8271	0.1818	0.6667	0.1053	|	0.8035	0.1989	0.8988	0.1119	|  Best result at epoch 1
15	0.6113	0.6191	|	0.7704	0.6795	0.5514	0.8850	|	0.8120	0.6667	0.5312	0.8947	|	0.7763	0.6758	0.5506	0.8748	|  Best result at epoch 15
16	0.6206	0.7500	|	0.7731	0.0198	1.0000	0.0100	|	0.7237	0.0000	0.0000	0.0000	|	0.7906	0.0335	1.0000	0.0170	|  Best result at epoch 15
17	0.7529	0.6081	|	0.8022	0.6864	0.5668	0.8700	|	0.7932	0.6667	0.5312	0.8947	|	0.8007	0.6878	0.5723	0.8615	|  Best result at epoch 15
18	0.6091	0.5566	|	0.8184	0.6954	0.7544	0.6450	|	0.8083	0.7619	0.6957	0.8421	|	0.8135	0.7135	0.7531	0.6778	|  Best result at epoch 18
19	0.5578	0.5165	|	0.8193	0.7250	0.7250	0.7250	|	0.8195	0.6957	0.5926	0.8421	|	0.8138	0.7269	0.7234	0.7304	|  Best result at epoch 18
20	0.5179	0.4888	|	0.8188	0.6796	0.7593	0.6150	|	0.8252	0.7805	0.7273	0.8421	|	0.8118	0.7072	0.7687	0.6548	|  Best result at epoch 20
21	0.4911	0.5422	|	0.8291	0.7108	0.6364	0.8050	|	0.8233	0.6667	0.5517	0.8421	|	0.8169	0.7183	0.6445	0.8111	|  Best result at epoch 20
22	0.5437	0.7160	|	0.7987	0.1973	0.9565	0.1100	|	0.7726	0.0000	0.0000	0.0000	|	0.8036	0.1902	0.9930	0.1052	|  Best result at epoch 20
23	0.7182	0.5241	|	0.8229	0.6860	0.8194	0.5900	|	0.8327	0.7805	0.7273	0.8421	|	0.8128	0.6998	0.7947	0.6252	|  Best result at epoch 20
24	0.5258	0.4876	|	0.8312	0.7419	0.7437	0.7400	|	0.8327	0.7111	0.6154	0.8421	|	0.8150	0.7301	0.7269	0.7333	|  Best result at epoch 20
25	0.4890	0.4662	|	0.8290	0.7163	0.7975	0.6500	|	0.8308	0.7619	0.6957	0.8421	|	0.8139	0.7122	0.7625	0.6681	|  Best result at epoch 20
26	0.4683	0.4595	|	0.8388	0.7481	0.7463	0.7500	|	0.8308	0.7111	0.6154	0.8421	|	0.8172	0.7283	0.7155	0.7415	|  Best result at epoch 20
27	0.4612	0.4981	|	0.8282	0.6164	0.8952	0.4700	|	0.8346	0.6250	0.7692	0.5263	|	0.8146	0.6481	0.8424	0.5267	|  Best result at epoch 20
28	0.5019	0.5462	|	0.8427	0.7084	0.6236	0.8200	|	0.8195	0.6667	0.5517	0.8421	|	0.8199	0.7118	0.6237	0.8289	|  Best result at epoch 20
29	0.5479	0.6279	|	0.8333	0.3775	0.9592	0.2350	|	0.7951	0.5185	0.8750	0.3684	|	0.8206	0.3860	0.9731	0.2407	|  Best result at epoch 20
30	0.6305	0.4905	|	0.8373	0.6802	0.8125	0.5850	|	0.8383	0.7500	0.7143	0.7895	|	0.8171	0.6960	0.7934	0.6200	|  Best result at epoch 20
31	0.4929	0.4517	|	0.8428	0.7520	0.7869	0.7200	|	0.8346	0.7273	0.6400	0.8421	|	0.8184	0.7203	0.7427	0.6993	|  Best result at epoch 20
32	0.4536	0.4420	|	0.8447	0.7394	0.7898	0.6950	|	0.8327	0.7273	0.6400	0.8421	|	0.8189	0.7168	0.7470	0.6889	|  Best result at epoch 20
33	0.4442	0.4350	|	0.8470	0.7480	0.7966	0.7050	|	0.8327	0.7273	0.6400	0.8421	|	0.8194	0.7174	0.7458	0.6911	|  Best result at epoch 20
34	0.4373	0.4297	|	0.8488	0.7500	0.8011	0.7050	|	0.8346	0.7442	0.6667	0.8421	|	0.8201	0.7169	0.7490	0.6874	|  Best result at epoch 20
